#Step	accX	accY	posX	posY	Yaw	vX	vY	vYaw
30	2.25321	9.39737e-14	2.23432e-17	0.100366	1.5708	1.2045	-2.29172e-16	1.28048e-15
31	3.86992	1.49483e-13	8.30362e-18	0.112797	1.5708	1.2432	1.26566e-15	-1.00011e-15
32	5.21841	-6.441e-14	2.08184e-18	0.125749	1.5708	1.29539	6.21558e-16	-2.90155e-15
33	6.14539	-1.8343e-13	9.68551e-18	0.139314	1.5708	1.35684	-1.21274e-15	1.11187e-17
34	4.53515	1.46626e-14	2.34557e-17	0.153335	1.5708	1.40219	-1.06611e-15	-9.01955e-15
35	1.76716	5.29999e-14	2.8814e-17	0.167532	1.5708	1.41986	-5.36113e-16	4.68582e-15
36	0.683873	1.39259e-13	2.49991e-17	0.181799	1.5708	1.4267	8.56477e-16	-1.25834e-16
37	0.264182	1.31256e-13	9.65551e-18	0.196093	1.5708	1.42934	2.16904e-15	7.83486e-15
38	0.101805	-2.44015e-13	1.07788e-17	0.210396	1.5708	1.43036	-2.71117e-16	1.10484e-14
39	0.0385896	9.92329e-14	6.74425e-18	0.224704	1.5708	1.43075	7.21212e-16	-3.2629e-15
40	0.0133864	-4.49684e-14	7.20691e-18	0.239013	1.5708	1.43088	2.71528e-16	4.91386e-15
41	0.00280139	-5.9357e-14	8.83934e-18	0.253322	1.5708	1.43091	-3.22042e-16	5.00736e-15
42	-0.00201151	-1.81854e-14	1.22901e-17	0.267631	1.5708	1.43089	-5.03896e-16	-3.35939e-15
43	-0.00439501	1.9793e-13	-4.05235e-18	0.281941	1.5708	1.43084	1.47541e-15	-4.30119e-15
44	-0.00566307	-1.72506e-13	-3.14442e-18	0.29625	1.5708	1.43079	-2.49648e-16	-4.51784e-15
45	-0.00639559	1.19113e-13	-1.73252e-17	0.31056	1.5708	1.43072	9.41479e-16	-4.62091e-15
46	-0.00689579	1.95635e-13	-4.63036e-17	0.324869	1.5708	1.43066	2.89783e-15	-1.01979e-14
47	-0.00734066	-5.37963e-14	-6.35476e-17	0.339179	1.5708	1.43058	2.35986e-15	-2.40635e-15
48	-0.00782975	-2.43859e-13	-5.64057e-17	0.353488	1.5708	1.4305	-7.8727e-17	9.12796e-15
49	-0.00840671	-4.12539e-14	-4.67271e-17	0.367798	1.5708	1.43042	-4.91266e-16	9.45483e-15
50	-0.00907606	-1.58191e-13	-2.91727e-17	0.382107	1.5708	1.43033	-2.07318e-15	7.21947e-15
51	-0.00981934	3.18318e-13	-4.18614e-17	0.396416	1.5708	1.43023	1.11e-15	-6.72113e-15
52	-0.010609	-9.73754e-14	-4.00465e-17	0.410726	1.5708	1.43012	1.36246e-16	-4.32493e-15
53	-0.0114185	2.53449e-14	-4.55321e-17	0.425035	1.5708	1.43001	3.89696e-16	3.63225e-15
54	-0.0122278	-5.56612e-14	-4.06856e-17	0.439345	1.5708	1.42989	-1.66916e-16	-3.85188e-15
55	-0.0130252	-1.56302e-13	-2.97409e-17	0.453654	1.5708	1.42976	-1.72994e-15	4.47825e-15
56	-0.0138066	2.91788e-13	-4.00316e-17	0.467963	1.5708	1.42962	1.18794e-15	-1.29028e-14
57	-0.014573	-1.02408e-13	-3.84928e-17	0.482273	1.5708	1.42947	1.63853e-16	1.78921e-15
58	-0.0153284	-1.13309e-13	-2.88004e-17	0.496582	1.5708	1.42932	-9.69242e-16	4.57565e-15
59	1.14941	1.38755e-13	-3.29802e-17	0.511002	1.5708	1.44081	4.18313e-16	-3.04402e-16
60	1.7597	-6.21519e-14	-2.93244e-17	0.525598	1.5708	1.45841	-2.03206e-16	-1.15315e-15
61	1.58756	-4.5127e-14	-2.76922e-17	0.540355	1.5708	1.47429	-6.54476e-16	1.13705e-15
62	1.23098	-3.70823e-14	-1.57864e-17	0.555238	1.5708	1.4866	-1.0253e-15	-8.5988e-15
63	0.859451	1.38579e-13	-2.10549e-17	0.57021	1.5708	1.49519	3.60486e-16	2.11367e-15
64	0.53747	-1.96435e-14	-2.2697e-17	0.585236	1.5708	1.50057	1.64052e-16	-3.64368e-15
65	0.284456	-4.21772e-14	-2.01217e-17	0.600292	1.5708	1.50341	-2.5772e-16	-1.33823e-15
66	0.119816	1.78597e-13	-3.37337e-17	0.615359	1.5708	1.50461	1.52825e-15	-1.48143e-15
67	0.0547908	-1.82125e-14	-3.88304e-17	0.63043	1.5708	1.50516	1.34613e-15	1.12147e-15
68	0.0283845	-3.02395e-13	-2.87467e-17	0.645503	1.5708	1.50544	-1.67783e-15	1.24414e-14
69	0.0162147	1.6108e-13	-2.97503e-17	0.660576	1.5708	1.5056	-6.70295e-17	-1.13139e-14
70	0.00958066	-1.50574e-13	-1.06756e-17	0.67565	1.5708	1.5057	-1.57277e-15	-4.71929e-15
71	0.00550845	8.29177e-14	1.07592e-19	0.690724	1.5708	1.50575	-7.43595e-16	3.59994e-15
72	0.00296818	6.72356e-15	8.54495e-18	0.705798	1.5708	1.50578	-6.76359e-16	4.30855e-15
73	0.00151051	6.85678e-14	6.77846e-18	0.720871	1.5708	1.5058	9.31863e-18	3.69283e-16
74	0.000830649	-2.91843e-14	1.12774e-17	0.735945	1.5708	1.50581	-2.82524e-16	-5.24859e-15
75	0.000665444	1.61559e-13	-3.72674e-18	0.751019	1.5708	1.50581	1.33307e-15	-5.36647e-16
76	0.000791273	-5.26816e-14	-6.76865e-18	0.766093	1.5708	1.50582	8.06253e-16	-5.6733e-15
77	0.00103799	1.05685e-13	-2.03791e-17	0.781167	1.5708	1.50583	1.8631e-15	4.89684e-15
78	0.00129393	-3.18166e-13	-1.05405e-17	0.79624	1.5708	1.50584	-1.31856e-15	5.80305e-15
79	0.00149958	2.17389e-13	-1.40733e-17	0.811314	1.5708	1.50586	8.55331e-16	-7.61177e-15
80	0.00163457	-9.37714e-14	-8.22888e-18	0.826388	1.5708	1.50588	-8.23823e-17	4.98064e-15
81	0.00170304	6.91116e-14	-7.62214e-18	0.841462	1.5708	1.50589	6.08734e-16	5.87695e-15
82	0.00172105	-3.42548e-14	-1.19575e-17	0.856535	1.5708	1.50591	2.66186e-16	8.82559e-15
83	0.00170747	1.57447e-13	-2.70171e-17	0.871609	1.5708	1.50593	1.84066e-15	-4.67649e-15
84	0.0016787	1.16528e-13	-5.03824e-17	0.886683	1.5708	1.50594	3.00594e-15	2.66105e-15
85	0.0016464	-4.03372e-13	-3.5084e-17	0.901757	1.5708	1.50596	-1.02778e-15	7.01892e-15
86	0.00161734	-3.66901e-14	-1.94636e-17	0.916831	1.5708	1.50598	-1.39468e-15	3.42444e-15
