#Index	accX	accY	accZ	gyrX	gyrY	gyrZ
0	-1.10536	0	0	241.242	0	0
1	-1.1288	0	0	243.679	0	0
2	-1.15566	0	0	241.679	0	0
3	-1.10146	0	0	234.742	0	0
4	-0.950091	0	0	228.492	0	0
5	0	0	0	218.804	0	0
6	0	-0.274845	0	207.742	0	0
7	0	-0.317813	0	0	0	0
8	0	-0.29047	0	0	0	0
9	0	0	0	0	0	0
10	0	0	0	0	0	0
11	0	0	0	0	0	0
12	0	0	0	204.117	0	0
13	0	0	0	216.367	0	0
14	0	0	0	230.429	0	0
15	0	0.283749	0	246.554	0	0
16	0	0.346249	0	266.992	0	0
17	0	0.435116	0	286.242	0	0
18	-1.05507	0.46246	0	301.554	0	0
19	-1.14052	0.466366	0	314.179	0	0
20	-1.16738	0.442929	-1.18696	320.179	0	0
21	-1.17128	0.439022	-1.15571	316.867	0	0
22	-1.19863	0.415585	0	310.929	0	0
23	-1.21425	0.361874	0	309.117	0	0
24	-1.19863	0	0	309.867	0	0
25	-1.10146	0	0	306.367	0	0
26	-0.973528	0	0	296.367	0	0
27	0	0	0	279.804	0	0
28	0	0	0	259.554	0	0
29	0	0	0	238.867	0	0
30	0	0	0	220.929	0	0
31	0	0	0	207.617	0	0
32	0	0	0	0	0	0
33	0	0	0	0	0	0
34	0	0	0	0	0	0
35	0	0.411679	0	210.804	0	0
36	0	0.536679	0	223.429	0	0
37	0	0.606991	0	238.867	0	0
38	0	0.685116	0	254.367	0	0
39	0	0.794491	0	270.929	0	0
40	-0.984759	0.872616	0	287.617	0	0
41	-1.03163	0.880429	-1.0976	302.742	0	0
42	-1.0624	0.872616	-1.12104	313.367	0	0
43	-1.0663	0.884335	0	318.304	0	0
44	-1.04335	0.841366	0	322.429	0	0
45	-1.03945	0.724179	0	325.179	0	0
46	-1.0663	0.591366	0	321.242	0	0
47	-1.07021	0.470272	0	311.679	0	0
48	-1.08193	0	0	296.804	0	0
49	-1.05507	0	0	283.804	0	0
50	-0.953997	0	0	272.492	0	0
51	0	0	0	258.742	0	0
52	0	0	1.10162	232.742	0	0
53	0	0	0	209.929	0	0
54	0	0	0	0	0	0
55	0	0	0	0	0	0
56	0	0	0	0	0	0
57	0	0.43121	0	0	0	0
58	0	0.610897	0	0	0	0
59	0	0.685116	0	0	0	0
60	0	0.759335	0	0	0	0
61	0	0.817929	0	0	0	0
62	0	0.89996	0	0	0	0
63	0	0.935116	0	0	0	0
64	0	0.966366	0	0	0	0
65	0	0.919491	0	0	0	0
66	0	0.86871	0	0	0	0
67	0	0.829647	0	0	0	0
68	0	0.716366	0	0	0	0
69	0	0.603085	0	0	0	0
70	0	0.567929	0	0	0	0
71	0	0.517147	0	0	0	0
72	0	0.481991	0	0	0	0
73	0	0.481991	0	0	0	0
74	0	0.517147	0	0	0	0
75	0	0.560116	0	0	0	0
76	0	0.591366	0	0	0	0
77	0	0.626522	0	0	0	0
78	0	0.665585	0	0	0	0
79	0	0.755429	0	0	0	0
80	0	0.829647	0	0	0	0
81	0	0.911679	0	0	0	204.554
82	0	1.06012	0	0	0	208.304
83	0	1.24371	0	0	0	208.741
84	0	1.21246	0	0	0	211.366
85	0	1.24371	0	0	0	217.616
86	0	1.33355	0	0	0	211.991
87	0	1.2398	0	0	0	212.491
88	0	1.24762	0	0	0	210.866
89	0	1.25543	0	0	0	208.616
90	0	1.79058	-2.22065	0	0	215.929
91	0	1.20855	0	0	0	205.929
92	0	1.21637	0	0	0	203.179
93	0	1.18121	0	0	0	201.804
94	0	0.89996	0	0	0	212.616
95	0	1.12262	0	0	0	0
96	0	1.0523	0	0	0	0
97	0	1.05621	0	0	0	0
98	0	1.31793	0	0	0	0
99	0	1.06402	0	0	0	0
100	0	0.958554	0	0	0	0
101	0	0.927304	0	0	0	0
102	0	0.77496	0	0	0	0
103	0	0.704647	0	0	0	0
104	0	0.677304	0	0	0	0
105	0	0.763241	0	0	0	0
106	0	0.860897	0	0	0	0
107	0	0.884335	0	0	0	0
108	0	0.845272	0	0	0	0
